feature,coef,abs_coef
cat__AP_C_RWY_18L,-2.227761144844452,2.227761144844452
cat__AP_C_RWY_32R,-2.0414046807075925,2.0414046807075925
cat__AP_C_RWY_30,1.6269963736730275,1.6269963736730275
cat__ILS_17R,1.6183304513294308,1.6183304513294308
cat__ILS_28L,-1.6051679196544852,1.6051679196544852
cat__ILS_36R,-1.3945671071731238,1.3945671071731238
cat__ILS_10R,-1.3872604399116748,1.3872604399116748
cat__ILS_08,1.341201680721138,1.341201680721138
cat__AP_C_RWY_22R,1.318547770596407,1.318547770596407
cat__AP_C_RWY_17L,1.227728849100527,1.227728849100527
cat__ILS_17L,1.2017848943793854,1.2017848943793854
cat__ILS_35L,-1.1707925171402933,1.1707925171402933
cat__ILS_32L,-1.1382974148318983,1.1382974148318983
cat__ILS_35R,-1.1262093053221016,1.1262093053221016
cat__ILS_28,1.12461824631686,1.12461824631686
cat__ILS_10L,-1.117285898816926,1.117285898816926
cat__market_segment_Other,1.1047929155806115,1.1047929155806115
cat__ILS_20,1.0108073832523474,1.0108073832523474
cat__AP_C_RWY_10L,-1.010787196778306,1.010787196778306
cat__ILS_14,0.9464646925398673,0.9464646925398673
cat__country_Ireland,0.9359038733789333,0.9359038733789333
cat__airport_EIDW,0.9359038733789333,0.9359038733789333
cat__AP_C_RWY_19R,0.8988563264783924,0.8988563264783924
cat__AP_C_RWY_NA,0.8743631394750454,0.8743631394750454
cat__ILS_36C,-0.8474626743176044,0.8474626743176044
cat__AP_C_RWY_10R,-0.789862608995754,0.789862608995754
cat__AP_C_RWY_08,-0.7791255988750303,0.7791255988750303
cat__ILS_07C,0.7728221296613278,0.7728221296613278
cat__AP_C_RWY_20,0.7702414472081718,0.7702414472081718
cat__ILS_22R,0.7588718540971389,0.7588718540971389
cat__ILS_19R,-0.7312982523016418,0.7312982523016418
cat__AP_C_RWY_15,0.7172234888151033,0.7172234888151033
cat__AP_C_RWY_25R,-0.7016347040391329,0.7016347040391329
cat__AP_C_RWY_18C,-0.684725464820476,0.684725464820476
cat__ILS_18L,0.6701675178245434,0.6701675178245434
cat__ILS_06,-0.6633131847719683,0.6633131847719683
cat__ILS_25,-0.659257220574321,0.659257220574321
cat__airport_LIRF,-0.6431366261722002,0.6431366261722002
cat__ILS_12,0.6197200948333952,0.6197200948333952
cat__AP_C_RWY_16L,-0.6135124496280976,0.6135124496280976
cat__AP_C_RWY_14,-0.6121035540414446,0.6121035540414446
cat__AP_C_RWY_07L,-0.6069003124316823,0.6069003124316823
cat__AP_C_RWY_36R,0.6065382086468054,0.6065382086468054
cat__ILS_30,-0.5867323649610785,0.5867323649610785
cat__ILS_24,0.5800948760150926,0.5800948760150926
cat__ILS_18C,-0.5622784349039344,0.5622784349039344
cat__AP_C_RWY_28L,-0.5613826841602156,0.5613826841602156
cat__AP_C_RWY_10,-0.5570249166327859,0.5570249166327859
cat__market_segment_Military,0.5496702955751923,0.5496702955751923
cat__ILS_32,0.5486945177711868,0.5486945177711868
cat__AP_C_RWY_18R,-0.5469939363532429,0.5469939363532429
cat__ILS_27,-0.5444587223202245,0.5444587223202245
cat__ILS_22,0.5352458298945372,0.5352458298945372
cat__airport_LIMC,0.5231135232464061,0.5231135232464061
cat__ILS_15,0.5220438395869502,0.5220438395869502
